iter	RMSE
238	0.3419053768
239	0.3414432159
240	0.341170579
241	0.3405621889
242	0.3400195593
243	0.3395856816
244	0.3390084045
245	0.3385808071
246	0.3378835968
247	0.3374736772
248	0.3368631502
249	0.3363725962
250	0.3357759133
251	0.3352635119
252	0.3347919725
253	0.3339130888
254	0.3336726802
255	0.3332022116
256	0.3327744197
257	0.3324302381
258	0.3321953702
259	0.331611264
260	0.3313736887
261	0.3304333959
262	0.3301586322
263	0.3297028022
264	0.3293956755
265	0.3285830586
266	0.3280062006
267	0.3275398504
268	0.3269285268
269	0.3266000822
270	0.3259499758
271	0.3256188841
272	0.3249629234
273	0.3244027607
274	0.324044849
275	0.3236508029
276	0.3233586943
277	0.3230160361
278	0.3222065215
279	0.3217435594
280	0.3212085653
281	0.3206244589
282	0.320465104
283	0.3198963872
284	0.3197465382
285	0.3193778758
286	0.3188624091
287	0.3183576791
288	0.3179626546
289	0.3176473412
290	0.3171920549
291	0.3168118554
292	0.3166102849
293	0.3162797444
294	0.3159360718
295	0.3158212314
296	0.31520803
297	0.3145254416
298	0.3142579354
299	0.3139567732
300	0.3135421405
301	0.3132092959
302	0.3130845403
303	0.312851419
304	0.3123459335
305	0.3120216511
306	0.311435968
307	0.3108157682
308	0.3103772263
309	0.3099953058
310	0.3095479804
311	0.3089453325
312	0.3085949267
313	0.3079816455
314	0.3074965732
315	0.3071187246
316	0.3070265163
317	0.3069552767
318	0.3068384495
319	0.3065258162
320	0.3061426078
321	0.3058268902
322	0.3052601838
323	0.3047534941
324	0.3044898766
325	0.3042911008
326	0.3039449441
327	0.3037045512
328	0.3034405145
329	0.3030673165
330	0.3022610598
331	0.302061248
332	0.301751281
333	0.3011567903
334	0.3006149367
335	0.2999461681
336	0.2996943276
337	0.2990780765
338	0.2986664789
339	0.2984393869
340	0.298116714
341	0.2975970481
342	0.2971225009
343	0.2964736259
344	0.2960960636
345	0.2960408394
346	0.29585743
347	0.2957707583
348	0.2955367115
349	0.2951411612
350	0.2948763721
351	0.2946706223
352	0.2942873356
353	0.2941119568
354	0.2939486488
355	0.2938474714
356	0.2934171239
357	0.2931341209
358	0.2925283802
359	0.2920602902
360	0.2919943025
361	0.2919358775
362	0.29132093
363	0.2905235686
364	0.290288943
365	0.2899173405
366	0.2894735427
367	0.2889654203
368	0.2883859049
369	0.2880857327
370	0.2877837843
371	0.287238168
372	0.2869664517
373	0.2868059322
374	0.286557718
375	0.2863510312
376	0.2860224212
377	0.2858068527
378	0.285336808
379	0.2850359199
380	0.2847159874
381	0.2845939966
382	0.2839510555
383	0.2835083224
384	0.2833243826
385	0.2828526032
386	0.2825754453
387	0.2823490751
388	0.2817187544
389	0.2815208447
390	0.2811254992
391	0.2806413076
392	0.28033961
393	0.2801188514
394	0.2798407246
395	0.2796148083
396	0.2794689365
397	0.2790661558
398	0.2787663368
399	0.2785282644
400	0.2782484757
401	0.2780303511
402	0.2775759591
403	0.2773154432
404	0.2772064059
405	0.2768051927
406	0.2765678674
407	0.27634672
408	0.2760484518
409	0.2755871442
410	0.2753151318
411	0.2749456556
412	0.274547705
413	0.2743668373
414	0.2739962723
415	0.2737215568
416	0.273540846
417	0.2732423794
418	0.273009265
419	0.2728219736
420	0.2727042551
421	0.2724154487
422	0.2720435296
423	0.2718832303
424	0.2718011192
425	0.2714840111
426	0.2711749126
427	0.2708797374
428	0.2707734656
429	0.2703091187
430	0.2699005188
431	0.2696559659
432	0.2692225499
433	0.2689835711
434	0.2685025447
435	0.268360525
436	0.2682573047
437	0.2680485531
438	0.2677687449
439	0.2674320942
440	0.2671202732
441	0.266896611
442	0.2666207965
443	0.2665018669
444	0.2661075444
445	0.2658161924
446	0.2655490568
447	0.2652226842
448	0.2650196452
449	0.2646965095
450	0.2643612341
451	0.2641487545
452	0.2639050472
453	0.2634309004
454	0.2631828107
455	0.2629223485
456	0.2627757338
457	0.2625697385
458	0.2621342135
459	0.2618364476
460	0.2616272032
461	0.2615239289
462	0.26127668
463	0.2610717326
464	0.2606721361
465	0.2603969649
466	0.2601978834
467	0.2598133877
468	0.259418926
469	0.259052344
470	0.2587981405
471	0.2584590142
472	0.2583453345
473	0.2579115849
474	0.2577658425
475	0.257536049
476	0.2572846967
477	0.2570979494
478	0.2567068196
479	0.256456425
480	0.2560554643
481	0.2557592775
482	0.2555742393
483	0.2549008567
484	0.2547317103
485	0.254365589
486	0.254258587
487	0.2541080673
488	0.2539124187
489	0.2535055878
490	0.2532515235
491	0.2529174241
492	0.2528093175
493	0.2527487743
494	0.2525411148
495	0.2524646921
496	0.2522270766
497	0.2520591496
498	0.251717327
499	0.2515258251
500	0.2513573777
501	0.2510222816
502	0.2507115665
503	0.2505070972
504	0.2502516223
505	0.2499906916
506	0.2494871614
507	0.2493195549
508	0.2489891897
509	0.2486655664
510	0.2484682018
511	0.2481371561
512	0.2477505533
513	0.2475162977
514	0.2471073341
515	0.246478758
516	0.2462345318
517	0.2457254743
518	0.2454846678
519	0.2452857619
520	0.2451536837
521	0.2449185375
522	0.2447507083
523	0.244478275
524	0.2442928901
525	0.2440288609
526	0.2438238768
527	0.2435543957
528	0.2433311532
529	0.2430712756
530	0.2428415789
531	0.2425846342
532	0.2422159614
533	0.2418945397
534	0.2416921551
535	0.2413847926
536	0.2408472008
537	0.2406516137
538	0.2403144599
539	0.2400173402
540	0.2397399163
541	0.2394628092
542	0.2391890326
543	0.2391200059
544	0.2388840734
545	0.2386715394
546	0.2384054374
547	0.2381975503
548	0.2376492417
549	0.2375049349
550	0.2373374102
551	0.2372067486
552	0.2368781973
553	0.2367127776
554	0.2365665616
555	0.2364639662
556	0.236168328
557	0.2359632199
558	0.2357324352
559	0.2353389059
560	0.2349507429
561	0.2345306531
562	0.2343661848
563	0.2341312975
564	0.2338483589
565	0.2335660588
566	0.2334240681
567	0.2332745976
568	0.2329155745
569	0.2325781575
570	0.2324443219
571	0.2323385525
572	0.2319854667
573	0.2317725144
574	0.2314919611
575	0.2313519698
576	0.2312390291
577	0.2310849044
578	0.2310058869
579	0.2308496683
580	0.2307406672
581	0.230627878
582	0.2305764067
583	0.2304105204
584	0.2301572427
585	0.2299265735
586	0.2297928694
587	0.2296961639
588	0.2295691957
589	0.2295358132
590	0.2293510067
591	0.2292161398
592	0.2290303674
593	0.2289273603
594	0.2288453669
595	0.2285152739
596	0.2284338736
597	0.2282132126
598	0.228170107
599	0.2279881613
600	0.2278086034
601	0.2276218532
602	0.2274560525
603	0.227309685
604	0.2272108787
605	0.2269335149
606	0.2267822408
607	0.2265899135
608	0.2264894828
609	0.2263494583
610	0.2262097095
611	0.2260505827
612	0.2258161034
613	0.2255494614
614	0.225276923
615	0.2250192839
616	0.2248567397
617	0.2245585749
618	0.2244575399
619	0.2242384533
620	0.2240692875
621	0.223777049
622	0.223458313
623	0.2232842635
624	0.2230255306
625	0.2227940563
626	0.2225790757
627	0.2224330935
628	0.2222614265
629	0.2221327563
630	0.2218745128
631	0.2216480585
632	0.2215388328
633	0.2214843701
634	0.2212437802
635	0.2212102709
636	0.2209920362
637	0.220557368
638	0.2203498145
639	0.2201502607
640	0.2199873211
641	0.219771836
642	0.2196635262
643	0.2194694988
644	0.2193613346
645	0.2192103829
646	0.2189448127
647	0.2187042811
648	0.2183999551
649	0.2181561054
650	0.2179760617
651	0.217833816
652	0.2176693323
653	0.2174374874
654	0.2171068058
655	0.2169683633
656	0.2167463203
657	0.2163372385
658	0.2159993928
659	0.2158098649
660	0.2155279127
661	0.2151510993
662	0.2148208906
663	0.2144925727
664	0.2144516038
665	0.2141974625
666	0.2140341789
667	0.2138748384
668	0.2136540318
669	0.2135133553
670	0.2131808438
671	0.2129817088
672	0.2129149792
673	0.2127272334
674	0.2124453348
675	0.2121840092
676	0.2120307553
677	0.211845168
678	0.2116714269
679	0.2114355235
680	0.2111995119
681	0.2108433116
682	0.2105941318
683	0.2104215371
684	0.2102011712
685	0.2100084185
686	0.2098850834
687	0.2096490695
688	0.2094814965
689	0.2094440412
690	0.2093338935
691	0.2092530968
692	0.2090989368
693	0.2090436309
694	0.2087031888
695	0.2083542337
696	0.2081070579
697	0.2079387244
698	0.2077065725
699	0.2075009201
700	0.207308971
701	0.2071267892
702	0.2068833086
703	0.2066707587
704	0.2066057567
705	0.2065277598
706	0.2063493225
707	0.2060464833
708	0.2058735944
709	0.2055589274
710	0.2053037435
711	0.2050309755
712	0.2049111862
713	0.2047236282
714	0.2044130751
715	0.2043372598
716	0.2041149751
717	0.2038933563
718	0.2037176385
719	0.2035454542
720	0.2032765862
721	0.2031490351
722	0.202923148
723	0.2028019808
724	0.2027101661
725	0.202579286
726	0.2023633406
727	0.2022896807
728	0.2021497232
729	0.2020069712
730	0.2017825823
731	0.201513481
732	0.2013311397
733	0.2011858876
734	0.2010184636
735	0.2009412355
736	0.2007260131
737	0.2004468992
738	0.2002241776
739	0.2001465419
740	0.1997368892
741	0.1995561901
742	0.1994773505
743	0.199415611
744	0.1993142144
745	0.1992284075
746	0.1990943897
747	0.1988255229
748	0.1987165567
749	0.1983038886
750	0.1982246916
751	0.1981513261
752	0.1978240582
753	0.1975185282
754	0.1974343122
755	0.1972145954
756	0.1967868399
757	0.1966561177
758	0.1963166532
759	0.1961849168
760	0.1960567529
761	0.195773597
762	0.1955974636
763	0.1954222354
764	0.1952199603
765	0.1949984633
766	0.194840737
767	0.1947125593
768	0.1943775218
769	0.1941983861
770	0.1940496009
771	0.1937961478
772	0.1935341671
773	0.1934650221
774	0.1932086746
775	0.1930452201
776	0.1929598736
777	0.1928727347
778	0.1927690347
779	0.1925692187
780	0.1924480763
781	0.1922592522
782	0.1920647911
783	0.191692537
784	0.1916283192
785	0.1914985777
786	0.1913005494
787	0.1911288625
788	0.1910114817
789	0.1909211726
790	0.1907511279
791	0.1904912821
792	0.1903574608
793	0.1902637769
794	0.1900665176
795	0.189953929
796	0.189667703
797	0.1893935143
798	0.1892710413
799	0.1890318721
800	0.1887901622
801	0.1887110974
802	0.1884537735
803	0.1882480254
804	0.1881478107
805	0.1879708082
806	0.1877695678
807	0.1876602169
808	0.1875152769
809	0.1874500352
810	0.1872364335
811	0.1870369538
812	0.1870094453
813	0.1867996113
814	0.186692452
815	0.1865582386
816	0.1863507645
817	0.1861671883
818	0.1860111914
819	0.1858628528
820	0.185791791
821	0.1856895899
822	0.1855661198
823	0.1855278972
824	0.1852395031
825	0.18492639
826	0.1848062322
827	0.184699438
828	0.1846116332
829	0.1844498978
830	0.1843081118
831	0.1841933524
832	0.1840631181
833	0.1838588844
834	0.183695009
835	0.1835607351
836	0.183444931
837	0.1833938648
838	0.1832547386
839	0.1832276248
840	0.1830449935
841	0.1829317924
842	0.1827487792
843	0.1826449424
844	0.1826092024
845	0.1824651887
846	0.1821444665
847	0.1820499557
848	0.1819667043
849	0.1818313213
850	0.181681079
851	0.181552683
852	0.1814789598
853	0.1811878019
854	0.1810296073
855	0.1809306989
856	0.1808410954
857	0.1804971714
858	0.1803812734
859	0.1801311409
860	0.1800161653
861	0.1799352776
862	0.1796561857
863	0.1794992825
864	0.179301211
865	0.1791050358
866	0.1789618357
867	0.1788255103
868	0.1786403477
869	0.1784933009
870	0.1784440636
871	0.1783695427
872	0.178308307
873	0.1780900163
874	0.1779183332
875	0.1777842731
876	0.1776621161
877	0.1775838799
878	0.1774280981
879	0.1772602657
880	0.177071693
881	0.1768891615
882	0.176792384
883	0.1766531041
884	0.1765202852
885	0.1763190998
886	0.1762067677
887	0.1760241686
888	0.1758451056
889	0.1757713859
890	0.1756023573
891	0.1755574657
892	0.1754587878
893	0.1753661814
894	0.1751190134
895	0.1749522763
896	0.1748700645
897	0.1746231533
898	0.1745409664
899	0.1744539916
900	0.174313938
901	0.1742493394
902	0.1742136101
903	0.174077791
904	0.173925275
905	0.1736970688
906	0.173504833
907	0.1734440744
908	0.1733107997
909	0.1732198264
910	0.1730256636
911	0.1728142714
912	0.1727068823
913	0.1725860416
914	0.1724264551
915	0.1723235648
916	0.1721651855
917	0.1719321357
918	0.1717183214
919	0.1715557498
920	0.1713864363
921	0.1711859305
922	0.1708298732
923	0.1707079074
924	0.1705511631
925	0.1704024854
926	0.1703444108
927	0.1702619988
928	0.1700929386
929	0.1699776277
930	0.1698250575
931	0.1697530222
932	0.1695324935
933	0.1694106093
934	0.1692950882
935	0.1690766551
936	0.1689640543
937	0.1688637534
938	0.1686125161
939	0.1684952704
940	0.1683558172
941	0.168257891
942	0.1681241842
943	0.1679595212
944	0.1677561734
945	0.1676206936
946	0.1674256163
947	0.1672677092
948	0.1670929669
949	0.16704949
950	0.1669823039
951	0.1668706006
952	0.1667374903
953	0.1665990651
954	0.1665279574
955	0.1664284126
956	0.1663243926
957	0.1661839739
958	0.1660840267
959	0.165975107
960	0.1658012371
961	0.1656443475
962	0.1653475904
963	0.1652763722
964	0.1652003026
965	0.1651168093
966	0.1649788187
967	0.1649159757
968	0.164788496
969	0.1647340119
970	0.1646562943
971	0.1645066567
972	0.1644574794
973	0.1643371235
974	0.1641967675
975	0.1640964636
976	0.1638525239
977	0.1638016993
978	0.1637359498
979	0.1636298808
980	0.1634910125
981	0.1632737366
982	0.1631643669
983	0.1629888792
984	0.1628856294
985	0.1627426373
986	0.1626509096
987	0.1625237981
988	0.1624957171
989	0.1623762777
990	0.1621970436
991	0.1620125389
992	0.1618382452
993	0.1617549373
994	0.1616241512
995	0.1614350403
996	0.161315557
997	0.1611096885
998	0.1609086612
999	0.1608472211
